# Matter power spectrum P(k) at redshift z=0
# for k=0.000211077 to 1.07544 h/Mpc,
# number of wavenumbers equal to 523
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.448769870442e-02       1.271152786862e+04 
       1.461642734486e-02       1.272548173075e+04 
       1.474519787819e-02       1.273844081944e+04 
       1.487401048361e-02       1.275043210092e+04 
       1.500286536476e-02       1.276145802329e+04 
       1.513176274941e-02       1.277153085096e+04 
       1.526070288923e-02       1.278066488438e+04 
       1.538968605960e-02       1.278887419222e+04 
       1.551871255940e-02       1.279616236368e+04 
       1.564778271088e-02       1.280255040190e+04 
       1.577689685954e-02       1.280805165976e+04 
       1.590605537401e-02       1.281266460710e+04 
       1.603525864602e-02       1.281641061791e+04 
       1.616450709031e-02       1.281930143843e+04 
       1.629380114462e-02       1.282134330972e+04 
       1.642314126970e-02       1.282255145041e+04 
       1.655252794932e-02       1.282293072920e+04 
       1.668196169032e-02       1.282250576442e+04 
       1.681144302268e-02       1.282127739450e+04 
       1.694097249957e-02       1.281926087315e+04 
       1.707055069751e-02       1.281646205208e+04 
       1.720017821647e-02       1.281289236483e+04 
       1.732985568000e-02       1.280855890454e+04 
       1.745958373543e-02       1.280349154279e+04 
       1.758936305402e-02       1.279768351544e+04 
       1.771919433120e-02       1.279114671682e+04 
       1.784907828675e-02       1.278390541812e+04 
       1.797901566508e-02       1.277594043094e+04 
       1.810900723548e-02       1.276727923336e+04 
       1.823905379239e-02       1.275794568758e+04 
       1.836915615570e-02       1.274793640960e+04 
       1.849931517106e-02       1.273725322152e+04 
       1.862953171025e-02       1.272592703101e+04 
       1.875980667147e-02       1.271394855463e+04 
       1.889014097977e-02       1.270133835183e+04 
       1.902053558741e-02       1.268809354103e+04 
       1.915099147428e-02       1.267425702847e+04 
       1.928150964833e-02       1.265979164598e+04 
       1.941209114601e-02       1.264474434784e+04 
       1.954273703273e-02       1.262911042024e+04 
       1.967344840337e-02       1.261289038427e+04 
       1.980422638278e-02       1.259610554143e+04 
       1.993507212628e-02       1.257876801333e+04 
       2.006598682025e-02       1.256086035827e+04 
       2.019697168267e-02       1.254242671659e+04 
       2.032802796371e-02       1.252346470671e+04 
       2.045915694637e-02       1.250398472417e+04 
       2.059035994706e-02       1.248397400209e+04 
       2.072163831632e-02       1.246347607344e+04 
       2.085299343945e-02       1.244247152239e+04 
       2.098442673723e-02       1.242099326151e+04 
       2.111593966666e-02       1.239902806987e+04 
       2.124753372170e-02       1.237658611355e+04 
       2.137921043402e-02       1.235369304594e+04 
       2.151097137385e-02       1.233033825772e+04 
       2.164281815079e-02       1.230655706401e+04 
       2.177475241465e-02       1.228232335749e+04 
       2.190677585637e-02       1.225768054159e+04 
       2.203889020889e-02       1.223258598980e+04 
       2.217109724812e-02       1.220710852787e+04 
       2.230339879392e-02       1.218124254319e+04 
       2.243579671109e-02       1.215493050211e+04 
       2.256829291040e-02       1.212825572328e+04 
       2.270088934969e-02       1.210119956492e+04 
       2.283358803495e-02       1.207377548052e+04 
       2.296639102146e-02       1.204600090252e+04 
       2.309930041499e-02       1.201783409150e+04 
       2.323231837298e-02       1.198932743991e+04 
       2.336544710583e-02       1.196047519643e+04 
       2.349868887817e-02       1.193132773218e+04 
       2.363204601021e-02       1.190183424440e+04 
       2.376552087910e-02       1.187199532181e+04 
       2.389911592037e-02       1.184185722439e+04 
       2.403283362941e-02       1.181143989685e+04 
       2.416667656294e-02       1.178069309256e+04 
       2.430064734065e-02       1.174965680177e+04 
       2.443474864673e-02       1.171834056164e+04 
       2.456898323162e-02       1.168673857785e+04 
       2.470335391369e-02       1.165487747267e+04 
       2.483786358103e-02       1.162275420232e+04 
       2.497251519333e-02       1.159036363644e+04 
       2.510731178370e-02       1.155773615796e+04 
       2.524225646072e-02       1.152484644575e+04 
       2.537735241043e-02       1.149168115813e+04 
       2.551260289844e-02       1.145834208036e+04 
       2.564801127212e-02       1.142478039431e+04 
       2.578358096282e-02       1.139096840435e+04 
       2.591931548819e-02       1.135693478114e+04 
       2.605521845464e-02       1.132271230177e+04 
       2.619129355975e-02       1.128824594475e+04 
       2.632754459491e-02       1.125356076016e+04 
       2.646397544794e-02       1.121870580221e+04 
       2.660059010589e-02       1.118375762879e+04 
       2.673739265785e-02       1.114852759073e+04 
       2.687438729796e-02       1.111317960401e+04 
       2.701157832844e-02       1.107769682507e+04 
       2.714897016276e-02       1.104202529335e+04 
       2.728656732899e-02       1.100620104662e+04 
       2.742437447314e-02       1.097017907687e+04 
       2.756239636276e-02       1.093403003704e+04 
       2.770063789057e-02       1.089771558904e+04 
       2.783910407830e-02       1.086132395049e+04 
       2.797780008061e-02       1.082473572980e+04 
       2.811673118923e-02       1.078805009597e+04 
       2.825590283720e-02       1.075123313281e+04 
       2.839532060331e-02       1.071431163903e+04 
       2.853499021666e-02       1.067726302516e+04 
       2.867491756147e-02       1.064016372160e+04 
       2.881510868206e-02       1.060287379963e+04 
       2.895556978797e-02       1.056551059745e+04 
       2.909630725935e-02       1.052806141429e+04 
       2.923732765257e-02       1.049049551397e+04 
       2.937863770597e-02       1.045287661272e+04 
       2.952024434601e-02       1.041512646116e+04 
       2.966215469347e-02       1.037734963871e+04 
       2.980437607009e-02       1.033947201826e+04 
       2.994691600539e-02       1.030154164723e+04 
       3.008978224379e-02       1.026354392497e+04 
       3.023298275206e-02       1.022547059667e+04 
       3.037652572708e-02       1.018734477813e+04 
       3.052041960393e-02       1.014910083619e+04 
       3.066467306437e-02       1.011091627696e+04 
       3.080929504562e-02       1.007262899940e+04 
       3.095429474961e-02       1.003425911207e+04 
       3.109968165262e-02       9.995914636203e+03 
       3.124546551534e-02       9.957449971057e+03 
       3.139165639343e-02       9.918940474279e+03 
       3.153826464850e-02       9.880472034570e+03 
       3.168530095973e-02       9.841937086757e+03 
       3.183277633587e-02       9.803398642464e+03 
       3.198070212796e-02       9.764835161054e+03 
       3.212909004259e-02       9.726227585083e+03 
       3.227795215580e-02       9.687557545200e+03 
       3.242730092769e-02       9.648945765371e+03 
       3.257714921774e-02       9.610295241627e+03 
       3.272751030092e-02       9.571605061882e+03 
       3.287839788454e-02       9.532935999067e+03 
       3.302982612607e-02       9.494246790703e+03 
       3.318180965177e-02       9.455521476071e+03 
       3.333436357638e-02       9.416828312870e+03 
       3.348750352379e-02       9.378123135914e+03 
       3.364124564881e-02       9.339425893371e+03 
       3.379560666017e-02       9.300710163660e+03 
       3.395060384466e-02       9.262042057189e+03 
       3.410625509272e-02       9.223339450422e+03 
       3.426257892537e-02       9.184629808284e+03 
       3.441959452265e-02       9.145991722284e+03 
       3.457732175373e-02       9.107307136057e+03 
       3.473578120867e-02       9.068665917174e+03 
       3.489499423212e-02       9.029989119821e+03 
       3.505498295889e-02       8.991384459363e+03 
       3.521577035171e-02       8.952740342293e+03 
       3.537738024124e-02       8.914165070735e+03 
       3.553983736847e-02       8.875542612458e+03 
       3.570316742982e-02       8.836982778061e+03 
       3.586739712494e-02       8.798429107103e+03 
       3.603255420758e-02       8.759915345531e+03 
       3.619866753973e-02       8.721379223713e+03 
       3.636576714919e-02       8.682892961275e+03 
       3.653388429094e-02       8.644415798546e+03 
       3.670305151263e-02       8.605972507519e+03 
       3.687330272434e-02       8.567479125337e+03 
       3.704467327321e-02       8.529046738038e+03 
       3.721720002312e-02       8.490666666425e+03 
       3.739092144002e-02       8.452292816102e+03 
       3.756587768318e-02       8.413905046893e+03 
       3.774211070315e-02       8.375591992898e+03 
       3.791966434667e-02       8.337198359436e+03 
       3.809858446945e-02       8.298910431303e+03 
       3.827891905738e-02       8.260620561742e+03 
       3.846071835682e-02       8.222325657510e+03 
       3.864403501512e-02       8.184087669503e+03 
       3.882892423197e-02       8.145787697042e+03 
       3.901544392282e-02       8.107578304415e+03 
       3.920365489553e-02       8.069292685055e+03 
       3.939362104137e-02       8.031059779596e+03 
       3.958540954197e-02       7.992848393531e+03 
       3.977909109375e-02       7.954610315728e+03 
       3.997474015160e-02       7.916394543217e+03 
       4.017243519381e-02       7.878124771312e+03 
       4.037225901054e-02       7.839911592814e+03 
       4.057429901833e-02       7.801639701928e+03 
       4.077864760338e-02       7.763410193242e+03 
       4.098540249702e-02       7.725133612709e+03 
       4.119466718682e-02       7.686823652867e+03 
       4.140655136743e-02       7.648505651593e+03 
       4.162117143595e-02       7.610174075579e+03 
       4.183865103696e-02       7.571833577556e+03 
       4.205912166338e-02       7.533423679926e+03 
       4.228272331991e-02       7.494944179461e+03 
       4.250960525710e-02       7.456478948359e+03 
       4.273992678499e-02       7.417939829536e+03 
       4.297385817680e-02       7.379356558755e+03 
       4.321158167475e-02       7.340672807457e+03 
       4.345329261181e-02       7.301933064695e+03 
       4.369920066575e-02       7.263142299481e+03 
       4.394953126405e-02       7.224209819104e+03 
       4.420452716177e-02       7.185214304846e+03 
       4.446445021811e-02       7.146084984414e+03 
       4.472958340162e-02       7.106844456047e+03 
       4.500023305983e-02       7.067530310224e+03 
       4.527673149517e-02       7.028034580876e+03 
       4.555943989710e-02       6.988407668207e+03 
       4.584875168967e-02       6.948583377979e+03 
       4.614509636566e-02       6.908589419705e+03 
       4.644894389202e-02       6.868408651384e+03 
       4.676080978935e-02       6.828039505694e+03 
       4.708126100916e-02       6.787388479342e+03 
       4.741092275926e-02       6.746515105903e+03 
       4.775048646076e-02       6.705341573582e+03 
       4.810071906120e-02       6.663870319245e+03 
       4.846247398006e-02       6.622067616854e+03 
       4.883670402774e-02       6.579889471632e+03 
       4.922447672154e-02       6.537313056505e+03 
       4.962699252567e-02       6.494334106509e+03 
       5.004560667532e-02       6.450806019296e+03 
       5.048185541268e-02       6.406756707402e+03 
       5.093748767809e-02       6.362101684925e+03 
       5.141450357285e-02       6.316787218314e+03 
       5.191520125778e-02       6.270762730742e+03 
       5.244223438873e-02       6.223801539926e+03 
